# sleutel_3e_cyclus_4_uitbreiding_maas_lgn5.asc.
#
# CSO, 25-6-2013
# Uitgebreid met codes voor Zeeuwse Delta: ZES (Oosterschelde en Westerschelde) + AGI 2006 (Grevelingen en Veerse Meer)
# The first uncommented line should contain the fieldnames for ecotoopcode and ruwheidscode.
# Empty lines will be skipped.

ecotoopcode , ruwheidscode
MLb-1 , 1231
MLb-2 , 1245
MNb-1 , 1231
MNb-2 , 1245
MNb-3 , 1242
MNg-1 , 1202
MNg-3 , 1201
MNh-4 , 1807
MNk-1 , 1250
MNk-2 , 114
MNr-2 , 1212
MNr-3 , 1807
MH#k-1 , 1250
MH#k-2b , 114
MH#k-2v , 114
MHk-1 , 1250
MHk-1f , 1250
MHk-1m/b , 1250
MHk-2 , 114
MHk-2b , 114
MHk-2v , 114
MH#r-0 , 1805
MH#r-1 , 1212
MH#r-2 , 1807
MH#r-3 , 1807
MH#r-4 , 121
MHr-1 , 1212
MHr-1f , 1203
MHr-1m/b , 1203
MHr-2 , 1807
MHr-3 , 1807
MHr-4 , 121
MH#g-1 , 1202
MH#g-2 , 1202
MH#g-3 , 1201
MHg-1 , 1202
MHg-2 , 1202
MHg-3 , 1201
MH#b-1 , 1233
MH#b-2 , 1244
MH#b-3 , 1242
MHb-1 , 1233
MHb-2 , 1244
MHb-3 , 1242
LGN4_1 , 1201
LGN4_2 , 121
LGN4_3 , 121
LGN4_4 , 121
LGN4_5 , 121
LGN4_6 , 121
LGN4_8 , 114
LGN4_9 , 1246
LGN4_10 , 121
LGN4_11 , 1244
LGN4_12 , 1243
LGN4_16 , 106
LGN4_17 , 106
LGN4_18 , 114
LGN4_19 , 114
LGN4_20 , 1244
LGN4_21 , 1243
LGN4_22 , 114
LGN4_23 , 1201
LGN4_24 , 1250
LGN4_25 , 116
LGN4_26 , 114
LGN4_30 , 1303
LGN4_31 , 1250
LGN4_32 , 1203
LGN4_33 , 1212
LGN4_34 , 1212
LGN4_35 , 1250
LGN4_36 , 1212
LGN4_37 , 1212
LGN4_38 , 1212
LGN4_39 , 1203
LGN4_40 , 1245
LGN4_41 , 1801
LGN4_42 , 1807
LGN4_43 , 1245
LGN4_44 , 1202
LGN4_45 , 1212
LGN4_46 , 1250
LGN5_1 , 1201
LGN5_2 , 121
LGN5_3 , 121
LGN5_4 , 121
LGN5_5 , 121
LGN5_6 , 121
LGN5_8 , 114
LGN5_9 , 1246
LGN5_10 , 121
LGN5_11 , 1244
LGN5_12 , 1243
LGN5_16 , 106
LGN5_17 , 106
LGN5_18 , 114
LGN5_19 , 114
LGN5_20 , 1244
LGN5_21 , 1243
LGN5_22 , 114
LGN5_23 , 1201
LGN5_24 , 1250
LGN5_25 , 116
LGN5_26 , 114
LGN5_30 , 1303
LGN5_31 , 1250
LGN5_32 , 1203
LGN5_33 , 1212
LGN5_34 , 1212
LGN5_35 , 1250
LGN5_36 , 1212
LGN5_37 , 1212
LGN5_38 , 1212
LGN5_39 , 1203
LGN5_40 , 1245
LGN5_41 , 1801
LGN5_42 , 1807
LGN5_43 , 1245
LGN5_44 , 1202
LGN5_45 , 1212
LGN5_46 , 1250
ATK_2111 , 115
ATK_2112 , 115
ATK_2113 , 115
ATK_2114 , 115
ATK_2121 , 115
ATK_2122 , 114
ATK_2123 , 115
ATK_2126 , 115
ATK_2127 , 115
ATK_2129 , 115
ATK_2132 , 115
ATK_2133 , 115
ATK_2134 , 115
ATK_2135 , 115
ATK_2201 , 114
ATK_2202 , 1820
ATK_2213 , 114
ATK_2221 , 115
ATK_2222 , 116
ATK_2223 , 115
ATK_2224 , 114
ATK_2227 , 1820
ATK_2228 , 1821
ATK_2230 , 1821
ATK_2301 , 114
ATK_2302 , 114
ATK_2314 , 106
ATK_2345 , 106
ATK_3103 , 116
ATK_3204 , 116
ATK_3301 , 1201
ATK_3302 , 1201
ATK_3401 , 106
ATK_3402 , 106
ATK_3501 , 114
ATK_3502 , 114
ATK_3511 , 115
ATK_3514 , 116
ATK_4101 , 121
ATK_4102 , 1201
ATK_4103 , 1822
ATK_4104 , 1212
ATK_4105 , 1802
ATK_4106 , 1804
ATK_4107 , 1244
ATK_4108 , 1823
ATK_4109 , 1246
ATK_4110 , 1212
ATK_4111 , 1801
ATK_4120 , 111
ATK_4199 , 101
ATK_5101 , 102
ATK_5102 , 106
ATK_5103 , 106
ATK_5105 , 106
ATK_5112 , 106
ATK_5202 , 113
ATK_5302 , 116
ATK_5303 , 116
ATK_5304 , 106
A , 114
B1 , 1245
B2 , 1242
B4 , 1231
G1 , 1202
G1-2 , 1202
G2 , 1201
G3 , 121
G5 , 1807
G6 , 1212
GbD , 102
GbDk , 104
GbKz , 104
GbM , 102
GbMk , 104
GbO , 102
GbOk , 104
GbX , 102
GbXa , 106
GbXk , 104
GbXv , 106
GbZx , 102
GoD , 102
GoDk , 104
GoH , 106
GoM , 102
GoMk , 104
GoO , 102
GoOk , 104
GoX , 102
GoXk , 104
GoZx , 102
GzA , 106
GzD , 102
GzDk , 104
GzH , 106
GzKz , 104
GzM , 102
GzMk , 104
GzO , 102
GzOk , 104
GzP , 106
GzX , 102
GzXa , 106
GzXk , 104
GzXv , 106
GzZx , 102
Gz/o/bM , 102
Gz/o/bO , 102
Gz/o/bX , 102
Gz/o/bXa , 106
Gz/o/bXk , 104
Gz/o/bXv , 106
HA-1 , 121
HA-2 , 114
HB-1 , 1244
HB-2 , 1233
HB-3 , 1242
HB-4 , 1247
HB-5 , 1246
HG-1 , 1202
HG-1-2 , 1202
HG-2 , 1201
HK-1 , 1250
HM-1 , 1807
HM-1-2 , 1807
HM-3 , 1224
HP-1 , 1250
HR-1 , 1212
I.1 , 106
I.1/MzO-M-D-Z , 106
I.3/IV.3 , 106
I.3/IV.4 , 106
I.4/IV.5 , 106
I.5 , 106
II.1 , 111
II.1-2 , 111
II.2 , 111
II.2/HK-1 , 111
II.2-3 , 111
II.2-3-4-5 , 111
II.2-3/REST-O/T , 111
II.2-3/REST-O-U , 111
II.2-3-4-5/REST-O/T , 111
II.4-5 , 111
II.4-5/REST-O/T , 111
III.2-3 , 113
III.2-3/HA-2 , 113
III.2-4 , 113
III.2-4/HA-2 , 113
III.5 , 113
III.8 , 113
IV.1 , 1807
IV.11 , 1807
IV.1-2-6-8-9 , 1807
IV.1-2-6-8-9/HM-1 , 1807
IV.1-2-6-8-9/HM-1-2 , 1807
IV.1-8-11/HM-1 , 1807
IV.3 , 1224
IV.3-8 , 1224
IV.7 , 1807
IV.8-9 , 1807
IX.a , 121
IX.a/HA-1 , 121
K4 , 106
MzD , 106
MzM , 106
MzO , 106
MzZ , 106
OK-1 , 1250
O-UA-1 , 121
O-UA-2 , 114
O-UB-1 , 1245
O-UB-2 , 1231
O-UB-3 , 1242
O-UB-4 , 1247
O-UB-5 , 1246
O-UG-1 , 1202
O-UG-1-2 , 1202
O-UG-2 , 1201
O-UK-1 , 1250
O-UP-1 , 1250
O-UR-1 , 1212
REST , 1250
REST-H , 1250
REST-O , 1250
REST-O-T , 1250
REST-O-U , 1250
REST-T , 1250
REST-U , 1250
RnD , 105
RnM , 105
RnM/RnO , 105
RnO , 105
RtD , 105
RtM , 105
RtO , 105
RvD , 106
RvD/RvM , 106
RvM , 106
RvO , 106
RvX , 106
Rv/wX , 106
RvX/RwX , 106
RwD , 106
RwM , 106
RwO , 106
RwX , 106
RzD , 102
RzM , 102
RzO , 102
UA-1 , 121
UA-2 , 114
UB-1 , 1245
UB-2 , 1231
UB-3 , 1242
UB-4 , 1247
UB-5 , 1246
UG-1 , 1202
UG-1-2 , 1202
UG-2 , 1201
UK-1 , 1250
UM-1 , 1807
UP-1 , 1250
UR-1 , 1212
V.1-2 , 1804
V.1-2-3-4 , 1804
V.1-2-3-4/HR-1 , 1804
V.2 , 1804
VI.1 , 1231
VI.1/HB-2 , 1231
VI.2 , 1231
VI.2/HB-2 , 1231
VI.2-3 , 1231
VI.4 , 1245
VI.4/HB-1 , 1245
VI.5 , 1242
VI.5-6/HB-1 , 1245
VI.6 , 1242
VI.7 , 1232
VI.8 , 1242
VI.8/HB-3 , 1242
VI.9 , 1247
VI.9/HB-4 , 1247
VI.10/HB-5 , 1246
VI.10 , 1246
VII.1 , 1202
VII.1-2 , 1202
VII.1-2/HG-1 , 1202
VII.1-2-3 , 1202
VII.1-2-3/HG-1-2 , 1202
VII.1-3 , 1202
VII.3 , 1201
VII.3/HG-2 , 1201
VII.4 , 1250
VII.4/HP-1 , 1250

B2.122x , 102
Z2.122x , 102
B2.223f , 106
Z2.223f , 106
B2.223s , 106
Z2.223s , 106
B2.221f , 106
Z2.221f , 106
B2.221s , 106
Z2.221s , 106
B1.2x1 , 113
B1.2x2 , 113
Z1.2x1 , 113
Z1.2x2 , 113
B2.21f , 102
Z2.21f , 102
B2.222f , 106
Z2.222f , 106
B2.222s , 106
Z2.222s , 106
B2.123x , 102
Z2.123x , 102
B2.11x , 102
Z2.11x , 102
B1.3 , 113
Z1.3 , 113
B2.3x , 111
Z2.3x , 111
B2.31x , 1250
Z2.31x , 1250
B2.321 , 1250
B2.32x , 1804
Overig , 0
Z2.321 , 1250
Z2.32x , 1804

a , 114
b1 , 1245
b2 , 1242
b4 , 1231
g1 , 1201
g2 , 1202
g3 , 121
g4 , 1224
g5 , 1807
g6 , 1212
k4 , 111
m , 102
o3 , 106
p1 , 1250
r , 1250
t2 , 104
t3 , 106
z , 0
